product_id,name,category,brand,processor,price_inr,ram_gb,storage_gb,battery_hours,display_inch,weight_kg,warranty_months,in_stock,stock_qty,rating,best_for,key_features
LAP001,Aspire 14 Pro,Laptop,Acer,Intel Core i5 12th Gen,52999,8,512,9,14.0,1.45,12,True,42,4.2,Students;Office,Backlit Keyboard;Fingerprint;Full HD
LAP002,IdeaBook Slim 5,Laptop,Lenovo,AMD Ryzen 5 7530U,58499,16,512,11,14.0,1.40,24,True,28,4.4,Students;College;Light Gaming,100% sRGB;Long Battery;Dolby Audio
LAP003,MacAir M2 13,Laptop,Apple,Apple M2,99999,8,256,18,13.6,1.24,12,True,15,4.7,Premium;Students;Designers,Retina Display;Silent Cooling;MagSafe
LAP004,ZenBook 14 OLED,Laptop,ASUS,Intel Core i7 13th Gen,74999,16,1024,12,14.0,1.39,24,False,0,4.5,Designers;Professionals,OLED Display;Thunderbolt 4;Numpad
LAP005,VivoStudy 15,Laptop,ASUS,Intel Core i3 12th Gen,42999,8,512,7,15.6,1.70,12,True,55,4.0,Students;Budget,HD Display;Number Pad;Ergolift Hinge
PHN001,Galaxy A55 5G,Phone,Samsung,Exynos 1480,38999,8,128,18,6.6,0.213,24,True,67,4.3,Mid-range;Photography,50MP Camera;Super AMOLED;IP67
PHN002,Pixel 8a,Phone,Google,Google Tensor G3,52999,8,128,16,6.1,0.188,24,True,22,4.5,Photography;Pure Android,7 yrs Updates;Magic Eraser;OLED
PHN003,iPhone 15,Phone,Apple,A16 Bionic,79900,6,128,20,6.1,0.171,12,True,11,4.6,Premium;iOS Ecosystem,Dynamic Island;USB-C;Ceramic Shield
PHN004,Redmi Note 13 Pro,Phone,Xiaomi,Snapdragon 7s Gen 2,24999,8,256,22,6.67,0.187,24,True,89,4.2,Budget;Long Battery,200MP Camera;AMOLED 120Hz;67W Charging
PHN005,OnePlus 12R,Phone,OnePlus,Snapdragon 8 Gen 2,42999,8,128,20,6.78,0.207,24,False,0,4.4,Performance;Gaming,100W Charging;LTPO Display;Cooling
HDP001,Sound Pods Lite,Headphones,boAt,N/A,1499,0,0,30,0,0.045,12,True,120,4.0,Daily Use;Budget,IPX5;ENx Tech;Bluetooth 5.3
HDP002,WH-1000XM5,Headphones,Sony,N/A,29990,0,0,30,0,0.250,12,True,18,4.7,Premium;Travel;ANC,Industry-leading ANC;Hi-Res Audio;Multipoint
HDP003,AirPods Pro 2,Headphones,Apple,N/A,24900,0,0,30,0,0.050,12,True,33,4.6,Apple Users;ANC,Adaptive Audio;Spatial Audio;MagSafe Case
ACC001,USB-C Hub 7-in-1,Accessory,Anker,N/A,3499,0,0,0,0,0.080,12,True,75,4.3,Laptop Users;Travel,HDMI 4K;PD 100W;SD Card Reader
ACC002,Laptop Backpack 15.6,Accessory,Wildcraft,N/A,1999,0,0,0,0,0.700,6,True,200,4.1,Students;Daily Commute,Padded Compartment;Water Resistant;USB Port
